Provider Name,External ID,External ID Type,Full Name,Relationship,Specialty,Degree/Provider Type,Worked together for how long?,Facility,Phone Number,Ext.,Email,Fax,Address Line 1,Address Line 2,City,County,State,Zip,Country,Record Viewable by Provider,File Viewable by Provider,File Key,From,To,Active,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
Dr. Sarah Johnson,PRV001,NPI,Dr. Michael Chen,Colleague,Cardiology,MD,5 years,St. Mary's Heart Institute,4045551234,101,mchen@stmarys.org,4045551235,123 Medical Plaza Dr,Suite 200,Atlanta,Fulton,GA,30309,United States,T,T,12345678-1234-1234-1234-123456789012,1/15/2020,12/31/2024,T,Reference1,Cardiology,Atlanta,Internal,2020,Active,Primary,Hospital,Verified,Complete
Dr. Sarah Johnson,PRV002,InternalID,Dr. Lisa Rodriguez,Former Colleague,Emergency Medicine,MD,3 years,Atlanta General Hospital,7705559876,,,7705559877,456 Emergency Blvd,,Marietta,Cobb,GA,30060,United States,T,T,,6/1/2019,5/31/2022,T,Reference2,Emergency,Marietta,External,2019,Closed,Secondary,Hospital,Verified,Complete
Dr. Sarah Johnson,PRV003,ProviderID,Dr. James Wilson,Department Head,Internal Medicine,MD,7 years,Emory University Hospital,6785552468,205,jwilson@emory.edu,6785552469,1364 Clifton Rd NE,Building B Floor 3,Atlanta,DeKalb,GA,30322,United States,T,F,23456789-2345-2345-2345-234567890123,3/10/2018,3/9/2025,T,Reference3,Internal,Atlanta,Academic,2018,Active,Primary,University,Verified,Complete
Dr. Sarah Johnson,PRV004,NPI,Dr. Amanda Foster,Residency Supervisor,Family Medicine,MD,4 years,Northside Hospital,4045553691,,,4045553692,1000 Johnson Ferry Rd,Medical Office Building,Atlanta,Fulton,GA,30342,United States,T,T,,7/1/2017,6/30/2021,T,Reference4,Family,Atlanta,Teaching,2017,Closed,Supervisor,Hospital,Verified,Complete
Dr. Sarah Johnson,PRV005,EmrID,Dr. Robert Martinez,Research Partner,Oncology,MD,2 years,Cancer Treatment Centers,9045554823,145,rmartinez@ctc.org,9045554824,789 Hope Street,Floor 4,Jacksonville,Duval,FL,32207,United States,F,F,34567890-3456-3456-3456-345678901234,9/15/2021,9/14/2023,T,Reference5,Oncology,Jacksonville,Research,2021,Active,Partner,Center,Verified,Complete
Dr. Sarah Johnson,PRV006,BillingSystemID,Dr. Patricia Lee,Clinical Director,Pediatrics,MD,6 years,Children's Healthcare,6785551597,302,plee@choa.org,6785551598,1405 Clifton Rd NE,Children's Center,Atlanta,DeKalb,GA,30322,United States,T,T,,1/1/2019,12/31/2024,T,Reference6,Pediatrics,Atlanta,Clinical,2019,Active,Director,Children,Verified,Complete
Dr. Sarah Johnson,PRV007,NPI,Dr. David Kim,Fellowship Mentor,Orthopedic Surgery,MD,1 year,Piedmont Hospital,4045557234,,,4045557235,1968 Peachtree Rd NW,Orthopedic Wing,Atlanta,Fulton,GA,30309,United States,T,T,45678901-4567-4567-4567-456789012345,8/1/2022,7/31/2023,T,Reference7,Orthopedic,Atlanta,Fellowship,2022,Closed,Mentor,Hospital,Verified,Complete
Dr. Sarah Johnson,PRV008,InternalID,Nurse Practitioner Jane Thompson,Collaborative Partner,Nurse Practitioner,NP,3 years,Atlanta Primary Care,7705558642,108,jthompson@apc.com,7705558643,2500 Windy Hill Rd,Suite 150,Marietta,Cobb,GA,30067,United States,T,T,,4/15/2020,4/14/2023,T,Reference8,Primary,Marietta,Collaborative,2020,Active,Partner,Clinic,Verified,Complete
Dr. Sarah Johnson,PRV009,ProviderID,Dr. Steven Brown,Conference Co-Presenter,Radiology,MD,5 years,Imaging Associates,6785559874,,,6785559875,550 Peachtree St NE,Imaging Center,Atlanta,Fulton,GA,30308,United States,F,F,,2/1/2019,1/31/2024,T,Reference9,Radiology,Atlanta,Conference,2019,Active,Presenter,Imaging,Verified,Complete
Dr. Sarah Johnson,PRV010,NPI,Dr. Maria Gonzalez,Locum Supervisor,Anesthesiology,MD,2 years,Surgery Center of Atlanta,4045556789,210,mgonzalez@sca.org,4045556790,95 Collier Rd NW,Surgery Suite 300,Atlanta,Fulton,GA,30309,United States,T,T,56789012-5678-5678-5678-567890123456,11/1/2021,10/31/2023,T,Reference10,Anesthesia,Atlanta,Locum,2021,Closed,Supervisor,Surgery,Verified,Complete
Dr. Sarah Johnson,PRV011,EmrID,Dr. William Davis,Quality Committee Member,Psychiatry,MD,4 years,Behavioral Health Center,6785552143,,,6785552144,12 Executive Park Dr NE,Building 12 Suite 200,Atlanta,DeKalb,GA,30329,United States,T,F,,5/10/2020,5/9/2024,T,Reference11,Psychiatry,Atlanta,Committee,2020,Active,Member,Behavioral,Verified,Complete
Dr. Sarah Johnson,PRV012,BillingSystemID,Dr. Carol White,Medical Staff President,Neurology,MD,8 years,Neurological Institute,9045557896,125,cwhite@neuro.org,9045557897,3200 Downwood Circle NW,Neurology Building,Atlanta,Fulton,GA,30327,United States,T,T,67890123-6789-6789-6789-678901234567,6/1/2017,5/31/2025,T,Reference12,Neurology,Atlanta,Leadership,2017,Active,President,Institute,Verified,Complete
Dr. Sarah Johnson,LONGNAME123,NPI,This is a very long name that exceeds the one hundred character limit for the full name field and should trigger validation error,Colleague,Cardiology,MD,Too long duration that exceeds fifty character limit,Facility name that is way too long and exceeds the one hundred character limit for facility field,123456789012345,12345678901234567890123,invalid-email-format,12345678901234567890,Address that exceeds one hundred characters and should trigger validation error,Address line 2 that exceeds fifty character limit,City name that exceeds fifty character limit,County name that is way too long and exceeds the one hundred character limit,INVALIDSTATE,12345678901,United States,X,Y,invalid-guid-format,13/45/2023,32/99/2024,X,Long1,Long2,Long3,Long4,Long5,Long6,Long7,Long8,Long9,Long10
Dr. Sarah Johnson,DUPLICATE123,NPI,Dr. Test Duplicate,Colleague,Cardiology,MD,2 years,Test Hospital,4045551111,,,4045551112,123 Test St,,Atlanta,Fulton,GA,30309,United States,T,T,,1/1/2020,12/31/2020,T,Dup1,Dup2,Dup3,Dup4,Dup5,Dup6,Dup7,Dup8,Dup9,Dup10
Dr. Sarah Johnson,DUPLICATE123,NPI,Dr. Another Duplicate,Different Colleague,Emergency Medicine,MD,1 year,Another Hospital,4045552222,,,4045552223,456 Another St,,Atlanta,Fulton,GA,30309,United States,F,T,,2/1/2020,12/31/2020,T,Dup21,Dup22,Dup23,Dup24,Dup25,Dup26,Dup27,Dup28,Dup29,Dup30
