Provider Name,External Id,External Id Type,Training Type,Department / Program,Specialty,Institution/Hospital Name,Institution Email,Address Line 1,Address Line 2,City,State,Zip,Country,Institution Phone Number,Ext.,Fax,Director's Name,Phone Number,Email,Start Date,End Date,Training Status,Anticipated Completion Date,Viewable by Provider?,ACGME,Website,File Viewable by Provider?,Ignore Required Fields Validation?,File Key,Note,User,Timestamp
Dr. Sarah Johnson,1234567890,NPI,Residency,Internal Medicine Residency,Internal Medicine,Johns Hopkins Hospital,residency@jhmi.edu,1800 Orleans St,,Baltimore,Maryland,21287,United States,4109551234,5678,4109551999,Dr. Michael Chen,4105551234,sarah.johnson@jhmi.edu,7/1/2020,6/30/2023,Completed,,T,T,https://www.hopkinsmedicine.org/,T,N,12345678-1234-1234-1234-123456789012,Excellent resident with outstanding clinical skills,admin@hospital.com,1/15/2024
Dr. James Miller,9876543210,NPI,Fellowship,Cardiology Fellowship,Cardiology,Mayo Clinic,cardiology@mayo.edu,200 First St SW,,Rochester,Minnesota,55905,United States,5072841234,2345,5072849876,Dr. Lisa Wang,5072551234,james.miller@mayo.edu,7/1/2023,6/30/2024,In Progress,,T,T,https://www.mayoclinic.org/,T,N,23456789-2345-2345-2345-234567890123,Currently completing advanced cardiac procedures training,credentialing@mayo.edu,2/20/2024
Dr. Maria Rodriguez,5555555555,NPI,Internship,Surgery Internship,General Surgery,Cleveland Clinic,surgery@ccf.org,9500 Euclid Ave,,Cleveland,Ohio,44195,United States,2164441234,1111,2164447890,Dr. Robert Smith,2165551234,maria.rodriguez@ccf.org,7/1/2019,6/30/2020,Completed,,T,T,https://clevelandclinic.org/,T,N,34567890-3456-3456-3456-345678901234,Strong surgical skills and excellent patient care,surgery.admin@ccf.org,3/10/2024
Dr. David Kim,7777777777,NPI,Chief Residency,Emergency Medicine Chief,Emergency Medicine,Massachusetts General Hospital,emergency@mgh.harvard.edu,55 Fruit St,,Boston,Massachusetts,02114,United States,6177261234,9999,6177268888,Dr. Jennifer Lee,6175551234,david.kim@mgh.harvard.edu,7/1/2022,6/30/2023,Completed,,T,T,https://www.massgeneral.org/,F,N,45678901-4567-4567-4567-456789012345,Exceptional leadership during chief year,emergency.admin@mgh.harvard.edu,4/5/2024
Dr. Ashley Thompson,3333333333,NPI,Post Doctoral Fellowship,Pediatric Oncology Fellowship,Pediatric Hematology/Oncology,Children's Hospital of Philadelphia,oncology@chop.edu,3401 Civic Center Blvd,,Philadelphia,Pennsylvania,19104,United States,2155901234,4567,2155907777,Dr. Mark Johnson,2155551234,ashley.thompson@chop.edu,7/1/2021,6/30/2022,Completed,,T,T,https://www.chop.edu/,T,N,56789012-5678-5678-5678-567890123456,Outstanding research contributions in pediatric oncology,peds.admin@chop.edu,5/15/2024
Dr. Michael Brown,1111111111,NPI,Faculty Position/Academic Employment,Assistant Professor of Medicine,Internal Medicine,University of California San Francisco,faculty@ucsf.edu,1975 Fourth St,,San Francisco,California,94158,United States,4154761234,8765,4154769999,Dr. Susan Davis,4155551234,michael.brown@ucsf.edu,8/1/2023,,Enrolled,,T,F,https://www.ucsf.edu/,T,N,67890123-6789-6789-6789-678901234567,New faculty member with strong research background,faculty.admin@ucsf.edu,6/20/2024
Dr. Emily Wilson,4444444444,NPI,Internship/Residency,Family Medicine Residency,Family Medicine,University of Washington Medical Center,familymed@uw.edu,1959 NE Pacific St,,Seattle,Washington,98195,United States,2065431234,3456,2065439876,Dr. Brian Taylor,2065551234,emily.wilson@uw.edu,7/1/2021,6/30/2024,In Progress,,T,T,https://www.uwmedicine.org/,T,N,78901234-7890-7890-7890-789012345678,Strong community medicine focus,familymed.admin@uw.edu,7/8/2024
Dr. Christopher Lee,2222222222,NPI,Fellowship,Gastroenterology Fellowship,Gastroenterology,Stanford University Medical Center,gastro@stanford.edu,300 Pasteur Dr,,Stanford,California,94305,United States,6507251234,5432,6507258765,Dr. Patricia Miller,6505551234,christopher.lee@stanford.edu,7/1/2022,6/30/2023,Completed,,T,T,https://stanfordhealthcare.org/,F,N,89012345-8901-8901-8901-890123456789,Excellent endoscopy skills and research output,gastro.admin@stanford.edu,8/12/2024
Dr. Jennifer Garcia,6666666666,NPI,Other,Physician Assistant Training,Emergency Medicine,Texas Children's Hospital,training@texaschildrens.org,6621 Fannin St,,Houston,Texas,77030,United States,8328241234,7890,8328249999,Dr. Anthony Clark,8325551234,jennifer.garcia@texaschildrens.org,9/1/2020,8/31/2021,Completed,,F,F,https://www.texaschildrens.org/,T,N,90123456-9012-9012-9012-901234567890,Specialized pediatric emergency training program,training.admin@texaschildrens.org,9/25/2024
Dr. Robert Johnson,8888888888,NPI,Residency,Orthopedic Surgery Residency,Orthopedic Surgery,Hospital for Special Surgery,orthopedics@hss.edu,535 E 70th St,,New York,New York,10021,United States,2126061234,1357,2126062468,Dr. Nancy White,2125551234,robert.johnson@hss.edu,7/1/2019,6/30/2024,In Progress,6/30/2024,T,T,https://www.hss.edu/,T,Y,01234567-0123-0123-0123-012345678901,Five-year orthopedic surgery residency program,orthopedics.admin@hss.edu,10/30/2024
INVALID001,123456789,NPI,InvalidType,Test Department,Test Specialty,Test Hospital,invalid-email,Test Address with way too many characters that exceed the 100 character limit for this field,Test Line 2,Test City with way too many characters that exceed limit,Test State,1234,United States,123456789012345,99999999999999999999999,123456789012345,Test Director with way too many characters that exceed the 100 character limit,123456789012345,another-invalid-email,13/45/2025,32/99/2026,Invalid Status,99/99/2025,X,X,not-a-valid-url,X,X,invalid-guid,This note exceeds the character limit of 10000 characters by repeating this text multiple times to demonstrate validation errors and ensure the system properly handles overly long content that users might accidentally paste or enter incorrectly into the system. This is repeated content. This is repeated content. This is repeated content. This is repeated content. This is repeated content. This is repeated content. This is repeated content. This is repeated content. This is repeated content. This is repeated content. This is repeated content. This is repeated content. This is repeated content. This is repeated content. This is repeated content. This is repeated content. This is repeated content. This is repeated content. This is repeated content. This is repeated content.,invalid-user-email,invalid-date
